,hodl,hourly,daily,weekly,monthly
NAV-GAM-XVG-XZC-ZEC,2623.849300433479,4280.216017408924,3794.3931798481335,3402.9599909390163,3054.5515419789367
GAM-WAX-OCN-SIB-XCP,2965.2417190265564,15177.561141487316,7853.601133108055,6654.722587690075,4569.437390957
ABY-KMD-USDS-PART-TUBE,3258.1775977301454,10412.780225612603,6055.379022447398,6033.553623995961,3895.414094126037
BNT-MANA-BSD-ION-QRL,2652.9783000929942,6359.011986303545,5017.393307192035,4649.182106861595,3782.0224152326537
DTA-CURE-LUN-QTUM-BCHABC,2526.2291065529566,9077.300585163077,7664.449769153189,6678.41330597412,3164.306182158066
MANA-SPC-XWC-MUSIC-FTC,2439.978584666817,3.535962159934513e+60,11903.644661997483,9786.704945153484,3456.352356675907
FLDC-KORE-MET-ANT-LTC,2741.4584413957423,10346.599140878483,7056.762529210405,5183.7985726166635,3188.383361397285
VRM-FCT-OCN-XRP-DASH,3824.2064257872858,17473.93857039357,18361.52456545124,31608.214695744537,5970.749839684584
BTC-STORM-OMG-ANT-MET,2474.135285747815,4278.585267535241,3914.0990553008724,3859.5763101556026,2771.9446744358693
STRAT-RADS-IOP-BAT-NEO,2739.800137129044,5397.763668155977,4414.569698790716,3820.755850802537,3360.9680984339448
MONA-EBST-AID-MFT-PART,2682.881901819924,7536.8039207824695,6827.359523688109,5610.692673493891,3038.3036085459194
FCT-ZCL-MUSIC-LOOM-ETC,3616.2583513571267,15022.169685442352,16761.959766677533,32679.707932146557,7510.561445059209
KORE-EMC2-2GIVE-NEO-EDR,2819.722043480401,13942.96409351582,8420.297963368192,6025.781562965095,3446.6781225801237
XEM-IHT-QRL-ION-EDR,2911.2528414643016,7311.018595238779,6751.995288959242,5986.556741608898,4222.974645157714
BLT-CURE-RCN-CLOAK-SPC,2368.8977102602994,5.578215627444204e+60,13090.509198720249,10393.760774434148,2615.1010159071648
ABY-UBQ-QWARK-MET-NEOS,3002.257394602157,13966.20256168656,9296.013744452775,7476.751272117941,3753.763565945179
