date,market_cap
2018-01-28,198389948175
2018-01-29,190164444830
2018-01-30,170151556678
2018-01-31,172099559942
2018-02-01,154428564694
2018-02-02,148725283812
2018-02-03,154540000411
2018-02-04,139433682759
2018-02-05,117184385122
2018-02-06,130658094648
2018-02-07,128435001186
2018-02-08,139306699929
2018-02-09,147266052809
2018-02-10,145341842785
2018-02-11,137064586975
2018-02-12,150513128412
2018-02-13,144995984203
2018-02-14,160131558835
2018-02-15,171477807437
2018-02-16,172637061144
2018-02-17,187482083882
2018-02-18,178040648022
2018-02-19,189426791571
2018-02-20,192457815912
2018-02-21,180442459820
2018-02-22,168892273935
2018-02-23,173909350860
2018-02-24,165687799108
2018-02-25,163204062358
2018-02-26,175076064010
2018-02-27,181158869820
2018-02-28,175644310997
2018-03-01,185009753075
2018-03-02,187318996197
2018-03-03,194159120569
2018-03-04,194567395376
2018-03-05,195614809925
2018-03-06,182225316082
2018-03-07,168479670395
2018-03-08,158852238332
2018-03-09,157898203939
2018-03-10,149939797150
2018-03-11,162009710243
2018-03-12,155710928717
2018-03-13,155555594312
2018-03-14,139920843550
2018-03-15,140460819364
2018-03-16,141111773179
2018-03-17,133993486925
2018-03-18,139201713268
2018-03-19,146107514353
2018-03-20,150909503835
2018-03-21,151193917440
2018-03-22,147809220250
2018-03-23,150383574951
2018-03-24,146818882936
2018-03-25,143914265310
2018-03-26,139078211968
2018-03-27,132717053150
2018-03-28,134788265876
2018-03-29,121436043045
2018-03-30,116786562165
2018-03-31,118204645927
2018-04-01,116026809075
2018-04-02,120101932910
2018-04-03,126429245883
2018-04-04,116229557118
2018-04-05,115524404354
2018-04-06,112565173568
2018-04-07,117241368688
2018-04-08,119162880482
2018-04-09,114886335694
2018-04-10,115978358964
2018-04-11,118267198080
2018-04-12,133912618634
2018-04-13,134043001354
2018-04-14,135589384440
2018-04-15,141427138383
2018-04-16,136849408643
2018-04-17,134206623206
2018-04-18,138661092884
2018-04-19,140902801023
2018-04-20,150287113368
2018-04-21,151150137128
2018-04-22,149585589886
2018-04-23,151784994312
2018-04-24,164833256250
2018-04-25,150369282696
2018-04-26,157793327246
2018-04-27,152802874822
2018-04-28,158963068374
2018-04-29,160182287342
2018-04-30,157163847314
2018-05-01,155114132125
2018-05-02,157119854754
2018-05-03,165778380092
2018-05-04,165062796742
2018-05-05,167759953654
2018-05-06,164316605278
2018-05-07,159538115686
2018-05-08,157202142973
2018-05-09,158758858205
2018-05-10,153988453198
2018-05-11,143743802092
2018-05-12,144841040789
2018-05-13,148587777457
2018-05-14,148480275422
2018-05-15,144979744412
2018-05-16,142587497878
2018-05-17,137923772714
2018-05-18,140607667610
2018-05-19,140559162894
2018-05-20,145109512565
2018-05-21,143518943480
2018-05-22,137104106176
2018-05-23,128868479514
2018-05-24,129385391552
2018-05-25,127573690458
2018-05-26,125469061263
2018-05-27,125695017596
2018-05-28,121747389422
2018-05-29,127502651064
2018-05-30,126391893474
2018-05-31,127902999390
2018-06-01,128725854692
2018-06-02,130481526036
2018-06-03,131808021256
2018-06-04,128312205314
2018-06-05,130365918088
2018-06-06,130725095161
2018-06-07,131153169176
2018-06-08,130256218613
2018-06-09,128682085689
2018-06-10,115948312827
2018-06-11,118025877189
2018-06-12,112491874164
2018-06-13,108530585830
2018-06-14,114106009748
2018-06-15,110378702283
2018-06-16,111992015616
2018-06-17,111134754810
2018-06-18,115176197712
2018-06-19,115789919278
2018-06-20,115916357344
2018-06-21,115129700024
2018-06-22,104088814967
2018-06-23,105449276520
2018-06-24,105646571668
2018-06-25,106958465208
2018-06-26,104307939200
2018-06-27,105403600614
2018-06-28,101072353482
2018-06-29,106474707240
2018-06-30,109665618200
2018-07-01,109366024632
2018-07-02,113288832522
2018-07-03,111849428104
2018-07-04,113024522547
2018-07-05,113748385620
2018-07-06,114350502582
2018-07-07,117506606000
2018-07-08,116097021279
2018-07-09,115557889495
2018-07-10,108511009626
2018-07-11,109631867446
2018-07-12,106798864820
2018-07-13,106968440793
2018-07-14,107631453835
2018-07-15,109074579938
2018-07-16,115638203962
2018-07-17,125588963706
2018-07-18,126458165406
2018-07-19,128122730711
2018-07-20,126202570251
2018-07-21,127333468174
2018-07-22,127336615249
2018-07-23,132375368459
2018-07-24,144634918474
2018-07-25,140482950401
2018-07-26,136553079708
2018-07-27,140235573607
2018-07-28,140716560550
2018-07-29,141185844808
2018-07-30,140547190784
2018-07-31,133688476220
2018-08-01,131030166771
2018-08-02,130052066760
2018-08-03,127785826655
2018-08-04,120899698889
2018-08-05,121526079384
2018-08-06,119531508535
2018-08-07,116128339800
2018-08-08,108448409560
2018-08-09,112973963230
2018-08-10,106390927598
2018-08-11,108314257212
2018-08-12,108790259014
2018-08-13,108369686635
2018-08-14,106696389129
2018-08-15,108581773101
2018-08-16,109045250379
2018-08-17,113290724406
2018-08-18,110603014928
2018-08-19,112031838393
2018-08-20,108642191682
2018-08-21,111758100192
2018-08-22,109840902181
2018-08-23,112577436411
2018-08-24,115778358839
2018-08-25,116534497933
2018-08-26,115585205491
2018-08-27,118657885712
2018-08-28,122319195736
2018-08-29,121484666374
2018-08-30,120309828156
2018-08-31,121346613238
2018-09-01,124044625438
2018-09-02,125427780027
2018-09-03,125222785390
2018-09-04,126986882925
2018-09-05,117185657641
2018-09-06,112649565532
2018-09-07,111590424587
2018-09-08,107442122871
2018-09-09,108747090915
2018-09-10,109255603474
2018-09-11,109119948884
2018-09-12,109661521297
2018-09-13,112530970182
2018-09-14,112462453186
2018-09-15,113000324618
2018-09-16,112562367224
2018-09-17,108497127334
2018-09-18,110064685348
2018-09-19,110547735544
2018-09-20,112653130183
2018-09-21,116385068032
2018-09-22,116173876360
2018-09-23,115990387532
2018-09-24,114011060309
2018-09-25,111450035114
2018-09-26,112300336125
2018-09-27,115454861756
2018-09-28,114903584220
2018-09-29,114186839964
2018-09-30,114608519470
2018-10-01,113999846113
2018-10-02,113431019760
2018-10-03,112516993837
2018-10-04,113811343543
2018-10-05,114614764674
2018-10-06,114033598927
2018-10-07,114298880311
2018-10-08,115162906843
2018-10-09,115007759484
2018-10-10,114030835912
2018-10-11,108341572839
2018-10-12,108669526315
2018-10-13,108878136724
2018-10-14,108972590373
2018-10-15,114280022340
2018-10-16,114283707152
2018-10-17,113399343801
2018-10-18,112237252159
2018-10-19,112052990522
2018-10-20,112476559221
2018-10-21,112369106369
2018-10-22,112465213723
2018-10-23,112279779884
2018-10-24,112637293966
2018-10-25,112309554478
2018-10-26,112294341019
2018-10-27,112403001148
2018-10-28,112518434372
2018-10-29,109862898081
2018-10-30,109903543419
2018-10-31,109627117226
2018-11-01,110683820788
2018-11-02,110880236966
2018-11-03,110421212888
2018-11-04,110689215104
2018-11-05,111456211022
2018-11-06,112095603776
2018-11-07,113395632955
2018-11-08,112078367037
2018-11-09,110905767441
2018-11-10,111326145314
2018-11-11,111373453740
2018-11-12,110689666528
2018-11-13,110494466204
2018-11-14,99712077259
2018-11-15,98151606541
2018-11-16,96900828780
2018-11-17,96542098114
2018-11-18,97753714643
2018-11-19,84688539692
2018-11-20,77401044320
2018-11-21,80020171047
2018-11-22,75919439809
2018-11-23,75598851166
2018-11-24,67495633205
2018-11-25,69749265801
2018-11-26,65739289046
2018-11-27,66468970322
2018-11-28,74072560088
2018-11-29,74451016927
2018-11-30,69904637061
2018-12-01,73346194969
2018-12-02,72050487506
2018-12-03,67779050170
2018-12-04,68878292608
2018-12-05,65352496336
